section,setup,seed,alpha,probe_size,method,acc,runtime_s,backbone,eps,K_per_class
D,ag_news_distilbert,43,0.05,,dp_avg_epsinf_K20,0.2753,14.4,distilbert,inf,20.0
D,ag_news_distilbert,43,0.1,,dp_avg_eps0.5_K1,0.4496,14.8,distilbert,0.5,1.0
D,ag_news_distilbert,43,0.1,,dp_avg_eps0.5_K5,0.5933,14.7,distilbert,0.5,5.0
D,ag_news_distilbert,43,0.1,,dp_avg_eps0.5_K20,0.5954,14.5,distilbert,0.5,20.0
D,ag_news_distilbert,43,0.1,,dp_avg_eps2.0_K1,0.5764,14.4,distilbert,2.0,1.0
D,ag_news_distilbert,43,0.1,,dp_avg_eps2.0_K5,0.5963,14.7,distilbert,2.0,5.0
D,ag_news_distilbert,43,0.1,,dp_avg_eps2.0_K20,0.6103,14.7,distilbert,2.0,20.0
D,ag_news_distilbert,43,0.1,,dp_avg_eps8.0_K1,0.6021,15.3,distilbert,8.0,1.0
D,ag_news_distilbert,43,0.1,,dp_avg_eps8.0_K5,0.6128,14.7,distilbert,8.0,5.0
D,ag_news_distilbert,43,0.1,,dp_avg_eps8.0_K20,0.6162,14.5,distilbert,8.0,20.0
D,ag_news_distilbert,43,0.1,,dp_avg_eps32.0_K1,0.6137,14.7,distilbert,32.0,1.0
D,ag_news_distilbert,43,0.1,,dp_avg_eps32.0_K5,0.618,14.2,distilbert,32.0,5.0
D,ag_news_distilbert,43,0.1,,dp_avg_eps32.0_K20,0.618,15.2,distilbert,32.0,20.0
D,ag_news_distilbert,43,0.1,,dp_avg_epsinf_K1,0.6179,14.7,distilbert,inf,1.0
D,ag_news_distilbert,43,0.1,,dp_avg_epsinf_K5,0.6188,14.6,distilbert,inf,5.0
D,ag_news_distilbert,43,0.1,,dp_avg_epsinf_K20,0.6186,14.2,distilbert,inf,20.0
D,ag_news_distilbert,43,1.0,,dp_avg_eps0.5_K1,0.5941,14.2,distilbert,0.5,1.0
D,ag_news_distilbert,43,1.0,,dp_avg_eps0.5_K5,0.8421,14.3,distilbert,0.5,5.0
D,ag_news_distilbert,43,1.0,,dp_avg_eps0.5_K20,0.8566,14.7,distilbert,0.5,20.0
D,ag_news_distilbert,43,1.0,,dp_avg_eps2.0_K1,0.8167,14.5,distilbert,2.0,1.0
D,ag_news_distilbert,43,1.0,,dp_avg_eps2.0_K5,0.8553,14.6,distilbert,2.0,5.0
D,ag_news_distilbert,43,1.0,,dp_avg_eps2.0_K20,0.8568,14.8,distilbert,2.0,20.0
D,ag_news_distilbert,43,1.0,,dp_avg_eps8.0_K1,0.853,14.1,distilbert,8.0,1.0
D,ag_news_distilbert,43,1.0,,dp_avg_eps8.0_K5,0.8561,14.8,distilbert,8.0,5.0
D,ag_news_distilbert,43,1.0,,dp_avg_eps8.0_K20,0.8574,15.2,distilbert,8.0,20.0
D,ag_news_distilbert,43,1.0,,dp_avg_eps32.0_K1,0.8553,14.9,distilbert,32.0,1.0
D,ag_news_distilbert,43,1.0,,dp_avg_eps32.0_K5,0.8572,14.7,distilbert,32.0,5.0
D,ag_news_distilbert,43,1.0,,dp_avg_eps32.0_K20,0.8559,15.0,distilbert,32.0,20.0
D,ag_news_distilbert,43,1.0,,dp_avg_epsinf_K1,0.8559,14.6,distilbert,inf,1.0
D,ag_news_distilbert,43,1.0,,dp_avg_epsinf_K5,0.8563,14.7,distilbert,inf,5.0
D,ag_news_distilbert,43,1.0,,dp_avg_epsinf_K20,0.8566,14.0,distilbert,inf,20.0
D,ag_news_distilbert,44,0.05,,dp_avg_eps0.5_K1,0.425,13.1,distilbert,0.5,1.0
D,ag_news_distilbert,44,0.05,,dp_avg_eps0.5_K5,0.4666,13.2,distilbert,0.5,5.0
D,ag_news_distilbert,44,0.05,,dp_avg_eps0.5_K20,0.4718,13.2,distilbert,0.5,20.0
D,ag_news_distilbert,44,0.05,,dp_avg_eps2.0_K1,0.4676,13.1,distilbert,2.0,1.0
D,ag_news_distilbert,44,0.05,,dp_avg_eps2.0_K5,0.4724,12.8,distilbert,2.0,5.0
D,ag_news_distilbert,44,0.05,,dp_avg_eps2.0_K20,0.4724,13.1,distilbert,2.0,20.0
D,ag_news_distilbert,44,0.05,,dp_avg_eps8.0_K1,0.4709,13.3,distilbert,8.0,1.0
D,ag_news_distilbert,44,0.05,,dp_avg_eps8.0_K5,0.4721,13.2,distilbert,8.0,5.0
D,ag_news_distilbert,44,0.05,,dp_avg_eps8.0_K20,0.4726,13.5,distilbert,8.0,20.0
D,ag_news_distilbert,44,0.05,,dp_avg_eps32.0_K1,0.472,13.9,distilbert,32.0,1.0
D,ag_news_distilbert,44,0.05,,dp_avg_eps32.0_K5,0.4724,13.3,distilbert,32.0,5.0
D,ag_news_distilbert,44,0.05,,dp_avg_eps32.0_K20,0.4726,13.2,distilbert,32.0,20.0
D,ag_news_distilbert,44,0.05,,dp_avg_epsinf_K1,0.4726,13.4,distilbert,inf,1.0
D,ag_news_distilbert,44,0.05,,dp_avg_epsinf_K5,0.4726,13.1,distilbert,inf,5.0
D,ag_news_distilbert,44,0.05,,dp_avg_epsinf_K20,0.4725,13.4,distilbert,inf,20.0
D,ag_news_distilbert,44,0.1,,dp_avg_eps0.5_K1,0.4321,14.0,distilbert,0.5,1.0
D,ag_news_distilbert,44,0.1,,dp_avg_eps0.5_K5,0.6037,14.3,distilbert,0.5,5.0
