task,C,seed,arrangement,cls,holders,n_holder,cos_mean,cos_top1,cos_top1_other,cos_rand
banking77,77,42,B,54,2,115,0.0955,0.1221,0.1238,0.0277
banking77,77,42,B,55,5,94,0.0587,0.1098,0.0842,0.0273
banking77,77,42,B,56,4,96,0.0788,0.1053,0.1016,0.0283
banking77,77,42,B,57,4,99,0.0872,0.1069,0.0941,0.0269
banking77,77,42,B,58,3,96,0.0853,0.1213,0.1078,0.0299
banking77,77,42,B,59,5,132,0.0962,0.1328,0.1287,0.0255
banking77,77,42,B,60,4,91,0.1097,0.1302,0.1242,0.0311
banking77,77,42,B,61,3,136,0.0765,0.1041,0.1041,0.0263
banking77,77,42,B,62,5,89,0.0991,0.126,0.1337,0.0288
banking77,77,42,B,63,4,155,0.0896,0.1366,0.1249,0.0274
banking77,77,42,B,64,2,158,0.0855,0.1136,0.114,0.0304
banking77,77,42,B,65,4,106,0.0693,0.0945,0.0904,0.028
banking77,77,42,B,66,6,156,0.102,0.1409,0.1285,0.0253
banking77,77,42,B,67,4,117,0.1106,0.1272,0.1433,0.0278
banking77,77,42,B,68,4,93,0.0906,0.1209,0.1198,0.0273
banking77,77,42,B,69,3,91,0.0938,0.1204,0.1237,0.0273
banking77,77,42,B,70,5,102,0.0786,0.1105,0.1048,0.0251
banking77,77,42,B,71,3,110,0.0908,0.123,0.1083,0.0286
banking77,77,42,B,72,2,34,0.093,0.1258,0.1159,0.0249
banking77,77,42,B,73,2,119,0.0995,0.1296,0.1275,0.0333
banking77,77,42,B,74,5,111,0.091,0.118,0.1195,0.0305
banking77,77,42,B,75,5,166,0.0787,0.119,0.125,0.0298
banking77,77,42,B,76,4,152,0.0927,0.1229,0.1233,0.0294
banking77,77,43,A,0,4,141,0.1691,0.2237,0.2143,0.0292
banking77,77,43,A,1,3,103,0.131,0.1744,0.1551,0.0275
banking77,77,43,A,2,4,112,0.1354,0.1866,0.1637,0.0281
banking77,77,43,A,3,2,76,0.1593,0.199,0.1908,0.0321
banking77,77,43,A,4,3,115,0.1246,0.1682,0.1496,0.0259
banking77,77,43,A,5,4,159,0.1738,0.2057,0.1988,0.0251
banking77,77,43,A,6,5,162,0.1304,0.1775,0.1611,0.0238
banking77,77,43,A,7,5,140,0.1768,0.2043,0.189,0.0281
banking77,77,43,A,8,6,136,0.1433,0.1745,0.1678,0.0283
banking77,77,43,A,9,3,111,0.1769,0.2225,0.2123,0.031
banking77,77,43,A,10,2,51,0.1648,0.1848,0.1792,0.0289
banking77,77,43,A,11,3,143,0.1887,0.2407,0.2163,0.032
banking77,77,43,A,12,3,99,0.1445,0.1842,0.1727,0.0311
banking77,77,43,A,13,4,126,0.1637,0.2027,0.1866,0.0288
banking77,77,43,A,14,3,103,0.1662,0.2011,0.207,0.0258
banking77,77,43,A,15,6,161,0.1623,0.2049,0.2012,0.0325
banking77,77,43,A,16,4,150,0.1471,0.1844,0.1755,0.0237
banking77,77,43,A,17,4,153,0.152,0.1961,0.1743,0.0303
banking77,77,43,A,18,1,52,0.1412,0.1647,0.1648,0.0329
banking77,77,43,A,19,2,160,0.1776,0.2073,0.2166,0.0263
banking77,77,43,A,20,1,144,0.1837,0.2196,0.216,0.0279
banking77,77,43,A,21,2,110,0.1995,0.2373,0.2273,0.0329
banking77,77,43,A,22,3,80,0.1783,0.2206,0.204,0.0271
banking77,77,43,A,23,5,27,-0.0116,0.0296,0.0906,0.0253
banking77,77,43,A,24,3,116,0.157,0.1845,0.169,0.029
banking77,77,43,A,25,3,140,0.1697,0.2013,0.1958,0.0287
banking77,77,43,A,26,4,152,0.1376,0.1825,0.1639,0.0272
banking77,77,43,A,27,5,118,0.1232,0.1819,0.1621,0.0294
banking77,77,43,A,28,4,161,0.1367,0.1851,0.1627,0.0286
banking77,77,43,A,29,3,110,0.1523,0.1889,0.174,0.0251
banking77,77,43,A,30,4,114,0.136,0.1649,0.1556,0.0264
banking77,77,43,A,31,4,107,0.1648,0.1958,0.1913,0.0273
banking77,77,43,A,32,2,102,0.1661,0.1985,0.1925,0.0247
banking77,77,43,A,33,2,108,0.1642,0.2068,0.1947,0.0256
banking77,77,43,A,34,5,145,0.1421,0.1902,0.1701,0.0228
banking77,77,43,A,35,3,119,0.1818,0.2147,0.2005,0.0297
banking77,77,43,A,36,4,109,0.1348,0.175,0.1686,0.0298
banking77,77,43,A,37,2,85,0.1346,0.1641,0.1505,0.0245
banking77,77,43,A,38,5,91,0.1527,0.1843,0.1891,0.0306
banking77,77,43,A,39,3,117,0.1843,0.2142,0.2084,0.0261
banking77,77,43,A,40,5,84,-0.0534,0.0014,0.0671,0.0275
banking77,77,43,A,41,3,71,0.1764,0.2077,0.2093,0.0269
banking77,77,43,A,42,3,112,0.1528,0.1836,0.193,0.0274
banking77,77,43,A,43,5,108,0.0731,0.1211,0.1027,0.0321
banking77,77,43,A,44,6,94,0.1122,0.1373,0.1436,0.0273
banking77,77,43,A,45,5,148,0.1732,0.1961,0.1902,0.0259
banking77,77,43,A,46,2,130,0.15,0.1887,0.185,0.034
banking77,77,43,A,47,2,134,0.1484,0.1827,0.1752,0.0279
banking77,77,43,A,48,5,130,0.1223,0.1578,0.1512,0.0316
banking77,77,43,A,49,3,106,0.1822,0.2155,0.2015,0.0309
banking77,77,43,A,50,4,82,0.0917,0.1183,0.1016,0.0303
banking77,77,43,A,51,4,148,0.1376,0.1836,0.1686,0.0291
banking77,77,43,A,52,2,160,0.1935,0.2404,0.2099,0.0289
banking77,77,43,A,53,2,145,0.1835,0.2197,0.2093,0.0303
banking77,77,43,A,54,2,116,0.1441,0.1819,0.1754,0.0259
banking77,77,43,A,55,4,96,0.1288,0.1874,0.1759,0.0343
banking77,77,43,A,56,4,99,0.1167,0.1438,0.146,0.0276
banking77,77,43,A,57,5,97,0.1168,0.1526,0.1445,0.0253
banking77,77,43,A,58,3,108,0.1682,0.209,0.1818,0.0291
banking77,77,43,A,59,5,133,0.1247,0.1623,0.1598,0.0314
banking77,77,43,A,60,5,79,0.09,0.1147,0.1126,0.0309
banking77,77,43,A,61,4,137,0.1396,0.1707,0.1677,0.0321
